,IPMU (TYPE : 1),2405A000,604348416,,,,,,
,PMU (TYPE : 2),24058000,604340224,,,,,,
,,,,,,,,,
BLOCK,STRUCTURE,STRUCTURE CODE,TYPE,ADDRESS,MSB,LSB,Data(HEX),NOTES,DESCRIPTION
IPMU,ipmu_common_config,IPMU1,1,127,12,10,1,,Setting SC-DCDC regulation voltage to be 1.0V.
,,,1,126,21,0,3E002F,,"Configuring the SC-DCDC with external cap enable, sample switch sizes"
,,,1,128,21,0,200020,,Transitioing from LDO mode to SC-DCDC Mode and setting trim_clamp lp and hp values
,,,1,129,20,18,1,, Setting RETN_LDO to 0.75 V
,,,1,140,19,15,19,,"Increasing the bias current of RETN LDO, enabling AUTO SHUT DOWN of PMUX_BULKSEL_COMP"
,,,1,125,2,2,1,,Disabling switching of bg_combi_ckt
,,,,,,,,,
PMU,pmu_common_config,PMU1,2,1D0,20,17,A,, Programming Buck output to 1.35V
,,,2,1D0,12,0,241,,Updating P constant for buck  PID controller
,,,2,1D2,12,0,D7,, Updating I constant for buck PID controller
,,,2,1D2,18,17,3,, Increasing ADC reference to avoid limit cycle
,,,2,1D3,14,0,72B,, Updating D constant for buck PID controller
,,,2,1DA,4,3,3,,Increasing buck tran high threshold
,,,2,1D1,19,19,1,,Enable BUCK dithering
,,,2,1D8,2,2,1,,Programming for Flash LDO Control from NPSS
,,,2,1DE,8,5,7,,Set lower buck vref voltage to 1.2V
,,,2,1D6,11,0,CB,,"Clear LDORF_DEFAULT_MODE_EN, LDOSOC_DEFAULT_MODE_EN to give access for voltage controlling"
,,,,,,,,,
SCDCDC,scdc_volt_sel,SCDC0,1,127,9,7,0,PLEASE DO NOT ADD SPARE REG PROGRAMMING IN THIS STRUCTURE, Set HP - LDO voltage to 1.05
,,,1,128,21,21,0,,Transition to LDO mode
,,,1,127,12,10,1,,Set SC-DCDC to desired voltage (1.0V)
,,,1,126,20,13,F8,,Configure the desired switch sizes
,,,1,128,21,21,1,,Switch back to SC-DCDC mode
,,,,,,,,,
SCDCDC,lp_scdc_extcapmode,SCDC1,1,127,9,7,0,PLEASE DO NOT ADD SPARE REG PROGRAMMING IN THIS STRUCTURE, Set HP - LDO voltage to 1.05
,,,1,128,21,21,0,,Transition to LDO mode
,,,1,127,12,10,2,,Set SC-DCDC to desired voltage (0.95V)
,,,1,126,20,13,F8,,Configure the desired switch sizes
,,,1,126,10,6,10,, Increasing the BW to support load steps of 0 to 1mA
,,,1,128,21,21,1,,Switch back to SC-DCDC mode
,,,,,,,,,
SCDCDC,hp_ldo_voltsel,SCDC2,1,127,9,7,4,, Enables to change the LDO voltage settings 1.15V (WuRx mode)
,,,,,,,,,
RETN_LDO,retn_ldo_voltsel,RETN0,1,129,20,18,2,, Setting RETN_LDO voltage to 0.7V
,,,,,,,,,
RETN_LDO,retn_ldo_0p75,RETN3,1,129,20,18,1,,Setting RETN_LDO voltage to 0.75V
,,,,,,,,,
RETN_LDO,retn_ldo_lpmode,RETN1,1,129,16,16,1,,Enabling the RETN_LDO LP MODE
,,,,,,,,,
RETN_LDO,retn_ldo_hpmode,RETN2,1,129,16,16,0,,Enabling the RETN_LDO HP MODE
,,,,,,,,,
POC,poc_bias_current,POC1,1,140,19,18,0,,"Decreasing the bias current of RETN_LDO, 32 K RO"
,,,,,,,,,
ULP_BG,ref_sel_pmu,BG_PMU_PFM,1,127,2,0,0,,Setting the reference voltage for PMU in PFM mode
,,,,,,,,,
ULP_BG,bg_sleep_time,BG_SLEEP1,1,125,21,18,8,,To Control the sleep duration of ULP_BG in sampling mode
,,,,,,,,,
ANA_PERIF,ana_perif_ptat_common_config1,ANAPERIF_BIAS_EN,1,127,3,3,1,,To enable bias currents to Analog Peripherals
,,,,,,,,,
ANA_PERIF,ana_perif_ptat_common_config2,ANAPERIF_BIAS_DIS,1,127,3,3,0,,To disable bias currents to Analog Peripherals
,,,,,,,,,
BOD_CLKS,ipmu_bod_clks_common_config1,BOD_BIAS_EN,1,127,4,4,1,,To enable/disable bias currents to BOD
,,,,,,,,,
BOD_CLKS,ipmu_bod_clks_common_config2,BOD_BIAS_DIS,1,127,4,4,0,,To disable bias currents to BOD
,,,,,,,,,
XTAL_OSC,xtal1_khz_fast_start_en,XTAL1_FS_EN,1,10E,20,17,F,,To enable fast startup mode (Low Power XTAL)
,,,,,,,,,
XTAL_OSC,xtal1_khz_fast_start_disable,XTAL1_FS_DIS,1,10E,20,17,7,,To disable fast startup mode (Low Power XTAL)
,,,,,,,,,
XTAL_OSC,xtal2_khz_fast_start_en,XTAL2_FS_EN,1,10E,20,17,F,,To enable fast startup mode
,,,,,,,,,
XTAL_OSC,xtal2_khz_fast_start_disable,XTAL2_FS_DIS,1,10E,20,17,7,,To disable fast startup mode
,,,,,,,,,
BOD,button_wakeup_thresh,BOD_BUTTON,1,1.00E+02,20,2,295F9,,
,,,,,,,,,
BOD,bod_cmp_hyst,BOD_CMP_HYST,1,1.00E+02,1,0,0,,
,,,,,,,,,
BUCK,buck_op_ctrl,BUCK1,2,1D0,20,17,A,,To re-configure buck output voltage
,,,,,,,,,
LDOSOC,ldosoc_op_ctrl,LDOSOC3,2,1D6,5,0,C,,
,,,,,,,,,
LDORF,ldoflash_op_ctrl,LDORF3,2,1D6,11,6,3,,
,,,,,,,,,
